code,CoName,S17Nm,S33Nm,ScaleCat,MktNm,MrgnNm
7442,中山福,商社・卸売,卸売業,-,スタンダード,貸借
7443,横浜魚類,商社・卸売,卸売業,-,スタンダード,貸借
7444,ハリマ共和物産,商社・卸売,卸売業,-,スタンダード,信用
7446,東北化学薬品,商社・卸売,卸売業,-,スタンダード,信用
7447,ナガイレーベン,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7453,良品計画,小売,小売業,TOPIX Mid400,プライム,貸借
7456,松田産業,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
7458,第一興商,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
7459,メディパルホールディングス,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
7460,ヤギ,商社・卸売,卸売業,-,スタンダード,貸借
7461,キムラ,商社・卸売,卸売業,-,スタンダード,信用
7462,ＣＡＰＩＴＡ,小売,小売業,-,スタンダード,信用
7463,アドヴァングループ,小売,小売業,TOPIX Small 2,スタンダード,貸借
7464,セフテック,商社・卸売,卸売業,-,スタンダード,信用
7466,ＳＰＫ,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7472,鳥羽洋行,商社・卸売,卸売業,-,スタンダード,貸借
7475,アルビス,小売,小売業,TOPIX Small 2,プライム,貸借
7476,アズワン,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
7477,ムラキ,商社・卸売,卸売業,-,スタンダード,信用
7480,スズデン,商社・卸売,卸売業,TOPIX Small 2,スタンダード,貸借
7481,尾家産業,商社・卸売,卸売業,-,スタンダード,信用
7482,シモジマ,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7483,ドウシシャ,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7486,サンリン,商社・卸売,卸売業,-,スタンダード,信用
7487,小津産業,商社・卸売,卸売業,-,スタンダード,貸借
7490,日新商事,商社・卸売,卸売業,-,スタンダード,信用
7494,コナカ,小売,小売業,-,スタンダード,貸借
7500,西川計測,商社・卸売,卸売業,-,スタンダード,信用
7501,ティムコ,商社・卸売,卸売業,-,スタンダード,信用
7502,プラザホールディングス,情報通信・サービスその他,サービス業,-,スタンダード,信用
7504,高速,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7505,扶桑電通,商社・卸売,卸売業,-,スタンダード,信用
7506,ハウス　オブ　ローゼ,小売,小売業,-,スタンダード,貸借
7508,Ｇ‐７ホールディングス,小売,小売業,TOPIX Small 2,プライム,貸借
7509,アイエーグループ,小売,小売業,-,スタンダード,信用
7510,たけびし,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7512,イオン北海道,小売,小売業,TOPIX Small 1,スタンダード,貸借
7513,コジマ,小売,小売業,TOPIX Small 1,プライム,貸借
7514,ヒマラヤ,小売,小売業,-,スタンダード,信用
7515,マルヨシセンター,小売,小売業,-,スタンダード,信用
7516,コーナン商事,小売,小売業,TOPIX Small 1,プライム,貸借
7520,エコス,小売,小売業,TOPIX Small 2,プライム,信用
7521,ムサシ,商社・卸売,卸売業,-,スタンダード,信用
7522,ワタミ,小売,小売業,TOPIX Small 2,プライム,貸借
7523,アールビバン,小売,小売業,-,スタンダード,貸借
7524,マルシェ,小売,小売業,-,スタンダード,貸借
7525,リックス,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7527,システムソフト,情報通信・サービスその他,情報･通信業,TOPIX Small 2,スタンダード,信用
7531,清和中央ホールディングス,商社・卸売,卸売業,-,スタンダード,信用
7532,パン・パシフィック・インターナショナルホールディングス,小売,小売業,TOPIX Mid400,プライム,貸借
7537,丸文,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
7538,大水,商社・卸売,卸売業,-,スタンダード,貸借
7539,アイナボホールディングス,商社・卸売,卸売業,-,スタンダード,貸借
7544,スリーエフ,小売,小売業,-,スタンダード,貸借
7545,西松屋チェーン,小売,小売業,TOPIX Small 1,プライム,貸借
7550,ゼンショーホールディングス,小売,小売業,TOPIX Mid400,プライム,貸借
